Data_Hora,Temperatura,Status
2026-09-12 12:34:37,23.93,Normal
2026-09-12 12:34:42,28.65,Temperatura Alta
2026-09-12 12:34:47,24.52,Normal
2026-09-12 12:34:52,28.21,Temperatura Alta
2026-09-12 12:34:57,29.45,Temperatura Alta
2026-09-12 12:35:02,25.43,Normal
2026-09-12 12:35:07,27.49,Temperatura Alta
2026-09-12 12:35:12,29.61,Temperatura Alta
2026-09-12 12:35:17,20.28,Temperatura Baixa
2026-09-12 12:35:22,25.96,Normal
2026-09-12 12:35:27,29.3,Temperatura Alta
2026-09-12 12:35:32,11.87,Temperatura Baixa
2026-09-12 12:35:33,15.75,Temperatura Baixa
2026-09-12 12:35:34,27.68,Temperatura Alta
2026-09-12 12:35:35,17.36,Temperatura Baixa
2026-09-12 12:35:36,10.08,Temperatura Baixa
2026-09-12 12:35:37,14.39,Temperatura Baixa
2026-09-12 12:35:38,14.48,Temperatura Baixa
2026-09-12 12:35:39,14.93,Temperatura Baixa
2026-09-12 12:35:40,11.63,Temperatura Baixa
2026-09-12 12:35:41,18.72,Temperatura Baixa
2026-09-12 12:35:42,21.22,Temperatura Baixa
2026-09-12 12:35:43,23.36,Normal
2026-09-12 12:35:44,19.02,Temperatura Baixa
2026-09-12 12:35:45,21.15,Temperatura Baixa
2026-09-12 12:35:47,27.18,Temperatura Alta
2026-09-12 12:35:52,23.48,Normal
2026-09-12 12:35:57,13.21,Temperatura Baixa
2026-09-12 12:36:02,17.6,Temperatura Baixa
2026-09-12 12:36:07,16.9,Temperatura Baixa
2026-09-12 12:36:12,13.12,Temperatura Baixa
2026-09-12 12:36:17,14.45,Temperatura Baixa
2026-09-12 12:36:22,10.82,Temperatura Baixa
2026-09-12 12:36:27,10.88,Temperatura Baixa
2026-09-12 12:36:32,12.37,Temperatura Baixa
2026-09-12 12:36:37,15.41,Temperatura Baixa
2026-09-12 12:36:42,23.83,Normal
2026-09-12 12:36:47,25.75,Normal
2026-09-12 12:36:52,14.15,Temperatura Baixa
2026-09-12 12:36:57,18.33,Temperatura Baixa
2026-09-12 12:37:02,19.99,Temperatura Baixa
2026-09-12 12:37:07,13.14,Temperatura Baixa
2026-09-12 12:37:12,13.06,Temperatura Baixa
2026-09-12 12:37:17,16.23,Temperatura Baixa
